Placebo,,Placebo_Top,,Placebo_Bottom,,5mg,,5mg_Top,,5mg_Bottom,,10mg,,10mg_Top,,10mg_Bottom,,15mg,,15mg_Top,,15mg_Bottom,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,-0.0377352149731034,,,,,0,-0.0377352149731034,,,,,0,-0.0377352149731034,,,,,0,0.00103699827406922,,,,
3.95839524517088,-1.12122557833058,,,,,3.95839524517088,-3.25369730692508,,,,,3.95839524517088,-3.3700139466666,,,,,3.95839524517088,-3.29246952017226,,,,
8.02377414561664,-1.73939177170675,,,,,8.02377414561664,-6.04310744214294,,,,,8.02377414561664,-6.15942408188446,,,,,8.02377414561664,-5.8104741626599,,,,
11.9821693907875,-2.12498229661511,,,,,11.9821693907875,-7.90204207044387,11.9821693907875,-7.63063657771366,12.0891530460624,-8.17338995215885,11.9821693907875,-8.75503076188167,12.0891530460624,-8.52233987138341,11.9821693907875,-9.06520846785906,11.9821693907875,-8.40608084265712,,,11.9821693907875,-8.7162585486345
15.9405646359584,-2.31671175528761,16.0475482912333,-1.96770422504783,16.0475482912333,-2.66560406349694,15.9405646359584,-9.21816571328438,15.9405646359584,-8.86921579405982,15.9405646359584,-9.52834341926176,16.0475482912333,-11.0404021248863,16.0475482912333,-10.7689966321561,16.0475482912333,-11.4668964706052,15.9405646359584,-10.5751931769354,16.0475482912333,-10.2649578599428,15.9405646359584,-10.9629153094072
20.0059435364042,-2.43083917645054,20.0059435364042,-2.00434483073164,20.0059435364042,-2.81856130892227,20.0059435364042,-10.5342317451097,20.0059435364042,-10.1077373993908,20.0059435364042,-10.9219538775814,20.0059435364042,-12.7442479001985,20.0059435364042,-12.395297980974,20.112927191679,-13.2094568481494,20.0059435364042,-12.5891590472098,20.0059435364042,-12.2014369147381,20.0059435364042,-13.0156533929287
24.0713224368499,-2.70005545060216,23.964338781575,-2.23484650265131,24.0713224368499,-3.16532200956823,24.0713224368499,-11.7339811371934,24.0713224368499,-11.2299423649802,23.964338781575,-12.1217608806804,24.0713224368499,-14.2541749982597,24.0713224368499,-13.8664528657879,24.0713224368499,-14.7582137704729,24.0713224368499,-14.7194415572257,24.0713224368499,-14.2541749982597,24.0713224368499,-15.1459359029446
36.1604754829123,-3.04249532510616,36.1604754829123,-2.46091212639857,36.1604754829123,-3.58530631056658,36.1604754829123,-13.7048539680787,36.1604754829123,-13.1232707693711,36.0534918276374,-14.2477225645543,36.0534918276374,-17.4270440508225,36.1604754829123,-16.922947667594,36.0534918276374,-18.0473994627773,36.0534918276374,-18.3963493820018,36.1604754829123,-17.814708572279,36.1604754829123,-18.939102756447
48.1426448736998,-2.60954854568194,48.1426448736998,-1.95042092048,48.1426448736998,-3.2299039576367,48.1426448736998,-14.9003401450357,48.1426448736998,-14.279984733081,48.1426448736998,-15.5206955569905,48.1426448736998,-19.3591446684606,48.1426448736998,-18.7387892565058,48.1426448736998,-20.0182722936625,48.1426448736998,-20.5998554923701,48.1426448736998,-19.9407278671682,48.1426448736998,-21.2202109043249
60.1248142644874,-2.60309611197661,60.1248142644874,-1.86642406028033,60.1248142644874,-3.3397681636729,60.1248142644874,-15.9019652557569,60.1248142644874,-15.1652932040606,60.1248142644874,-16.5610928809588,60.1248142644874,-20.8260363381479,60.1248142644874,-20.1669087129459,60.1248142644874,-21.5627083898441,60.1248142644874,-21.989202735563,60.1248142644874,-21.2525306838668,60.1248142644874,-22.648330360765
72.2139673105498,-2.4027250010202,72.1069836552749,-1.5885661338448,72.2139673105498,-3.17816926596366,72.2139673105498,-15.9729996375307,72.2139673105498,-15.2363275858344,72.1069836552749,-16.7097293002422,72.1069836552749,-21.3236226766558,72.2139673105498,-20.6256652271914,72.2139673105498,-22.099009330584,72.2139673105498,-22.4479592498086,72.2139673105498,-21.7112871981123,72.2139673105498,-23.1846313015049
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,ss
